from,to,support,relation,start,end,time
ebechstein,hitler,8,1,1921,1939,2
amann,hitler,6,1,1920,1939,1
hbechstein,hitler,11,1,1921,1939,2
below,hitler,5,1,1937,1939,8
blomberg,hitler,4,1,1933,1939,8
bormann,hitler,8,1,1933,1939,8
bouhler,hitler,6,3,1921,1939,2
bruckmann,hitler,11,1,1920,1939,1
brueckner,hitler,12,1,1930,1939,5
chamberlain,hitler,5,2,1919,1927,1
dietrich,hitler,12,3,1929,1939,5
dinter,hitler,5,2,1920,1928,2
dirksen,hitler,7,1,1922,1922,2
eckart,hitler,7,1,1919,1939,1
epp,hitler,12,3,1920,1939,1
esser,hitler,6,1,1920,1939,2
feder,hitler,3,3,1920,1939,1
frank,hitler,13,3,1919,1939,1
hoffmann,hitler,11,1,1920,1939,1
kirdorf,hitler,10,3,1927,1938,4
lammers,hitler,13,3,1933,1939,8
maurice,hitler,12,1,1919,1939,1
mayr,hitler,6,3,1919,1921,1
poehner,hitler,12,3,1920,1925,1
reichenau,hitler,4,4,1932,1939,6
rosenberg,hitler,12,2,1920,1939,2
schaub,hitler,14,1,1920,1939,1
schreck,hitler,4,1,1921,1939,2
speer,hitler,14,4,1933,1939,8
wagner,hitler,3,1,1923,1939,2
himmler,hitler,12,1,1923,1939,2
hess,hitler,12,1,1920,1939,1
goebbels,hitler,6,1,1924,1939,3
heydrich,hitler,4,2,1931,1939,6
goering,hitler,12,1,1922,1939,2
schirach,hitler,6,1,1925,1939,4
bohlen,hitler,1,4,1933,1939,8
thyssen,hitler,10,3,1923,1939,5
frick ,hitler,6,3,1925,1939,4
fick,hitler,5,3,1933,1939,8
schwarz,hitler,12,3,1922,1939,6
schacht,hitler,8,3,1932,1939,7
weber,hitler,12,1,1920,1939,1
borsig,hitler,10,5,1922,1932,7
papen,hitler,6,1,1932,1939,6
gansser,hitler,10,5,1922,1938,2
hugenberg,hitler,6,3,1929,1939,5
keppler,hitler,1,3,1934,1939,8
scheubnerrichter,hitler,10,2,1920,1923,2
hossbach,hitler,4,3,1934,1939,8
aust,hitler,10,5,1922,1939,2
kerrl,hitler,6,3,1935,1939,8
ribbentrop,hitler,2,3,1934,1939,8
luedecke,hitler,10,1,1922,1933,2
leybold,hitler,5,3,1923,1924,2
lehmann,hitler,8,5,1920,1939,1
darre,hitler,6,3,1930,1939,5
hanfstaengl,hitler,2,5,1922,1934,2
boepple,hitler,6,2,1920,1939,2
sesselmann,hitler,4,2,1919,1939,1
