from,to,support,relation,start,end,time
amann,hitler,16,1,1920,1939,1
bruckmann,hitler,21,1,1920,1939,1
chamberlain,hitler,15,2,1919,1927,1
drexler,hitler,18,2,1920,1942,1
eckart,hitler,17,1,1919,1939,1
epp,hitler,22,3,1920,1939,1
feder,hitler,13,3,1920,1939,1
frank,hitler,23,3,1919,1939,1
hoffmann,hitler,21,1,1920,1939,1
maurice,hitler,22,1,1919,1939,1
mayr,hitler,16,3,1919,1921,1
poehner,hitler,22,3,1920,1925,1
schaub,hitler,24,1,1920,1939,1
hess,hitler,22,1,1920,1939,1
weber,hitler,22,1,1920,1939,1
lehmann,hitler,18,5,1920,1939,1
sesselmann,hitler,14,2,1919,1939,1
graf,hitler,14,1,1919,1939,1
biskupski,hitler,12,5,1920,1939,1
feverlag,hitler,15,2,1920,1939,1
ludendorff,hitler,16,2,1920,1937,1
roehm,hitler,22,1,1919,1925,1
hierl,hitler,22,2,1919,1939,1
class,hitler,18,1,1919,1939,1
sa,hitler,14,2,1920,1939,1
ebechstein,hitler,18,1,1921,1939,2
hbechstein,hitler,21,1,1921,1939,2
bouhler,hitler,16,3,1921,1939,2
dinter,hitler,15,2,1920,1928,2
dirksen,hitler,17,1,1922,1922,2
esser,hitler,16,1,1920,1939,2
rosenberg,hitler,22,2,1920,1939,2
schreck,hitler,14,1,1921,1939,2
wagner,hitler,13,1,1923,1939,2
himmler,hitler,22,1,1923,1939,2
goering,hitler,22,1,1922,1939,2
gansser,hitler,20,5,1922,1938,2
scheubnerrichter,hitler,20,2,1920,1923,2
aust,hitler,20,5,1922,1939,2
luedecke,hitler,20,1,1922,1933,2
leybold,hitler,15,3,1923,1924,2
hanfstaengl,hitler,12,5,1922,1934,2
boepple,hitler,16,2,1920,1939,2
kursell,hitler,22,2,1921,1939,2
schickedanz,hitler,15,2,1921,1939,2
koerner,hitler,21,1,1920,1933,2
fiehler,hitler,24,1,1923,1939,2
roder,hitler,23,3,1924,1924,2
singer,hitler,13,1,1920,1939,2
stosstrupp,hitler,24,2,1923,1923,2
berchtold,hitler,24,2,1922,1939,2
neithardt,hitler,23,2,1924,1924,2
burhenne,hitler,11,5,1922,1939,2
biv,hitler,20,5,1922,1939,2
streicher,hitler,13,1,1922,1939,2
kriebel,hitler,22,2,1922,1937,2
pfordten,hitler,16,2,1923,1939,2
goebbels,hitler,16,1,1924,1939,3
kirdorf,hitler,20,3,1927,1938,4
schirach,hitler,16,1,1925,1939,4
frick,hitler,16,3,1925,1939,4
bouhler,hitler,16,1,1925,1939,4
ss,hitler,14,2,1925,1939,4
brueckner,hitler,22,1,1930,1939,5
dietrich,hitler,22,3,1929,1939,5
thyssen,hitler,20,3,1923,1939,5
hugenberg,hitler,16,3,1929,1939,5
darre,hitler,16,3,1930,1939,5
pietzsch,hitler,20,5,1930,1939,5
reichenau,hitler,14,4,1932,1939,6
heydrich,hitler,14,2,1931,1939,6
schwarz,hitler,22,3,1922,1939,6
papen,hitler,16,1,1932,1939,6
strauss,hitler,20,5,1930,1939,6
hessen,hitler,17,2,1930,1939,6
kempka,hitler,24,1,1932,1939,6
troost,hitler,15,4,1930,1934,6
schacht,hitler,18,3,1932,1939,7
